Name,Division,Region,Area,Population,PopulationDensity,Coastline
Tỉnh Bình Định,Tỉnh,Nam Trung Bộ,6066.2,1487.8,245.2606244,134
Tỉnh Phú Yên,Tỉnh,Nam Trung Bộ,5023.4,873.2,173.826492,182
Tỉnh Khánh Hòa,Tỉnh,Nam Trung Bộ,5137.8,1232.8,239.9470591,370
Tỉnh Ninh Thuận,Tỉnh,Nam Trung Bộ,3355.3,591,176.1392424,105
Tỉnh Bình Thuận,Tỉnh,Nam Trung Bộ,7943.9,1232.3,155.1253163,192
Tỉnh Kon Tum,Tỉnh,Tây Nguyên,9674.2,543.4,56.17001923,0
Tỉnh Gia Lai,Tỉnh,Tây Nguyên,15511,1520.2,98.00786539,0
Tỉnh Đắk Lắk,Tỉnh,Tây Nguyên,13030.5,1872.6,143.7089904,0
Tỉnh Đắk Nông,Tỉnh,Tây Nguyên,6509.3,625.8,96.13936982,0
Tỉnh Lâm Đồng,Tỉnh,Tây Nguyên,9783.3,1299.3,132.8079482,0
Tỉnh Bình Phước,Tỉnh,Đông Nam Bộ,6876.8,997.8,145.0965565,0
Tỉnh Tây Ninh,Tỉnh,Đông Nam Bộ,4041.3,1171.7,289.9314577,0
Tỉnh Bình Dương,Tỉnh,Đông Nam Bộ,2694.6,2456.3,911.5638685,0
Tỉnh Đồng Nai,Tỉnh,Đông Nam Bộ,5863.6,3113.7,531.0218978,0
Tỉnh Bà Rịa - Vũng Tàu,Tỉnh,Đông Nam Bộ,1981,1152.2,581.6254417,72
Thành phố Hồ Chí Minh,Thành phố Trung ương,Đông Nam Bộ,2061.4,9038.6,4384.690016,17
Tỉnh Long An,Tỉnh,Đồng bằng sông Cửu Long,4494.9,1695.1,377.1162873,0
Tỉnh Tiền Giang,Tỉnh,Đồng bằng sông Cửu Long,2510.6,1766.3,703.5370031,32
Tỉnh Bến Tre,Tỉnh,Đồng bằng sông Cửu Long,2394.8,1289.1,538.2912978,60
Tỉnh Trà Vinh,Tỉnh,Đồng bằng sông Cửu Long,2358.3,1009.3,427.9777806,65
Tỉnh Vĩnh Long,Tỉnh,Đồng bằng sông Cửu Long,1525.7,1022.6,670.2497214,0
Tỉnh Đồng Tháp,Tỉnh,Đồng bằng sông Cửu Long,3383.8,1598.8,472.4865536,0
Tỉnh An Giang,Tỉnh,Đồng bằng sông Cửu Long,3536.7,1907.4,539.3163118,0
Tỉnh Kiên Giang,Tỉnh,Đồng bằng sông Cửu Long,6348.8,1723.7,271.500126,200
Thành phố Cần Thơ,Thành phố Trung ương,Đồng bằng sông Cửu Long,1439,1236,858.9298124,0
Tỉnh Hậu Giang,Tỉnh,Đồng bằng sông Cửu Long,1621.7,732.2,451.5015108,0
Tỉnh Sóc Trăng,Tỉnh,Đồng bằng sông Cửu Long,3311.9,1199.5,362.1788097,72
Tỉnh Bạc Liêu,Tỉnh,Đồng bằng sông Cửu Long,2669,908.2,340.2772574,56
Tỉnh Cà Mau,Tỉnh,Đồng bằng sông Cửu Long,5221.2,1194.3,228.7405194,254
